"Code de la région du lieu des travaux - Code de la zone";"Code de la région du lieu des travaux - Libellé de la zone";"Code du département du lieu des travaux - Code de la zone";"Code du département du lieu des travaux - Libellé de la zone";"Code de la commune du lieu des travaux";"Numéro d'enregistrement du permis de démolir (PD)";"Etat d'avancement du projet";"Date réelle d'autorisation initiale";"Année de dépôt de la DAU";"Date (mois) de prise en compte (DPC) du premier évènement reçu dans Sitadel (dépôt de la demande ou autorisation)";"Date (mois) de prise en compte (DPC) de l'autorisation initiale";"Date (mois) (DPC) de dernière mise à jour des données";"Code d'activité principale de l'établissement d'un demandeur avéré en tant que personne morale";"Catégorie juridique d'un demandeur avéré en tant que personne morale";"Dénomination d'un demandeur avéré en tant que personne morale";"Numéro SIREN d'un demandeur avéré en tant que personne morale";"Numéro SIRET d'un demandeur avéré en tant que personne morale";"Code postal du demandeur";"Localité du demandeur";"Indicateur de recours à un architecte";"Numéro de voie du terrain";"Type de voie du terrain";"Libellé de la voie du terrain";"Lieu-dit du terrain";"Localité du terrain";"Code postal du terrain";"Section cadastrale 1";"Numéro parcelle cadastrale 1";"Section cadastrale 2";"Numéro parcelle cadastrale 2";"Section cadastrale 3";"Numéro parcelle cadastrale 3";"Superficie du terrain";"Code zone opératoire"
"REG_CODE";"REG_LIBELLE";"DEP_CODE";"DEP_LIBELLE";"COMM";"NUM_PD";"ETAT_PD";"DATE_REELLE_AUTORISATION";"AN_DEPOT";"DPC_PREM";"DPC_AUT";"DPC_DERN";"APE_DEM";"CJ_DEM";"DENOM_DEM";"SIREN_DEM";"SIRET_DEM";"CODPOST_DEM";"LOCALITE_DEM";"REC_ARCHI";"ADR_NUM_TER";"ADR_TYPEVOIE_TER";"ADR_LIBVOIE_TER";"ADR_LIEUDIT_TER";"ADR_LOCALITE_TER";"ADR_CODPOST_TER";"SEC_CADASTRE1";"NUM_CADASTRE1";"SEC_CADASTRE2";"NUM_CADASTRE2";"SEC_CADASTRE3";"NUM_CADASTRE3";"SUPERFICIE_TERRAIN";"ZONE_OP"
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0037";2;"2017-09-07";2017;"2017-06";"2017-09";"2017-09";;;;;;"31130";"BALMA";"false";"1";"AV";"CAMILLE PUJOL";;"TOULOUSE";"31000";"AB";820;;;;;266;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0038";2;"2017-07-05";2017;"2017-08";"2017-08";"2017-08";;;;;;"82410";"ST-ETIENNE-DE-TULMONT";"false";"8";"RUE";"JEAN DAMOYSEL";;"TOULOUSE";"31000";"BE";260;;;;;2352;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0039";2;"2017-08-31";2017;"2017-06";"2017-08";"2017-08";;;;;;"31230";"MONTBERNARD";"false";"18";"ROUTE";"DE LAUNAGUET";;"TOULOUSE";"31000";"AP";49;;;;;378;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0040";2;"2017-09-18";2017;"2017-06";"2017-09";"2017-09";;;;;;"92919";"PUTEAUX LA DEFENSE";"false";;"ALLEE";"JEAN JAURES";;"TOULOUSE";"31000";;;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0041";2;"2017-07-05";2017;"2017-06";"2017-08";"2017-08";;;;;;"31200";"TOULOUSE";"false";"23";"RUE";"SALAMBO";;"TOULOUSE";"31000";"AE";390;;;;;602;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0042";2;"2017-07-26";2017;"2017-08";"2017-08";"2017-08";;;;;;"31505";"TOULOUSE CEDEX 5";"false";"28";"AV";"DE LYON";;"TOULOUSE";"31000";"AB";29;;;;;121;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0043";2;"2018-02-14";2017;"2017-08";"2018-02";"2018-02";"49.31Z";4140;"TISSEO VOYAGEURS";"520807876";"52080787600039";"31100";"TOULOUSE";"false";;"COURS";"DILLON";;"TOULOUSE";"31000";"AE";254;;;;;26160;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0044";2;"2017-09-07";2017;"2017-09";"2017-09";"2017-09";;;;;;"31400";"TOULOUSE";"false";"170";"AV";"DE LESPINET";;"TOULOUSE";"31000";"AH";113;"AH";"123";"AH";"129";10937;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0045";2;"2017-08-24";2017;"2017-08";"2017-08";"2017-08";;;;;;"31010";"TOULOUSE CEDEX 06";"false";"181";"AV";"DE GRANDE BRETAGNE";;"TOULOUSE";"31000";"AC";104;"AC";"107";"AC";"171";202619;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0047";2;"2017-09-07";2017;"2017-08";"2017-09";"2017-09";;;;;;"31000";"TOULOUSE";"false";"19";"RUE";"DU PRINTEMPS";;"TOULOUSE";"31000";"AB";200;;;;;153;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0048";2;"2017-10-09";2017;"2017-08";"2017-10";"2017-10";;;;;;"46320";"ESPAGNAC STE EULALIE";"false";"40";"ALLEE";"JEAN JAURES";;"TOULOUSE";"31000";"AB";20;;;;;292;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0049";2;"2017-08-24";2017;"2017-08";"2017-08";"2017-08";;;;;;"31500";"TOULOUSE";"false";"18";"RUE";"DE LA VIERGE";;"TOULOUSE";"31000";"AC";156;;;;;294;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0050";2;"2017-10-04";2017;"2017-10";"2017-10";"2017-10";;;;;;"31000";"TOULOUSE";"false";;"AV";"DES HERBETTES";"131 AV DE LESPINET";"TOULOUSE";"31000";"AH";87;;;;;6783;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0051";2;"2018-02-07";2017;"2018-02";"2018-02";"2018-02";"68.20A";5599;"SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS";"660802844";"66080284400028";"31027";"TOULOUSE";"false";"2";"RUE";"EDMOND DE PLANET";;"TOULOUSE";"31000";"AD";400;;;;;3325;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0052";2;"2017-08-09";2017;"2017-08";"2017-08";"2017-08";;;;;;"31011";"TOULOUSE CEDEX 06";"false";"103";"RUE";"EDMOND ROSTAND";;"TOULOUSE";"31000";"AY";212;;;;;2043;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0053";4;"2017-08-09";2017;"2017-08";"2017-08";"2018-09";;;;;;"31000";"TOULOUSE";"false";"14";"RUE";"DU MARECHAL JOFFRE";;"TOULOUSE";"31000";"AC";453;;;;;160;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0054";2;"2017-08-09";2017;"2017-08";"2017-08";"2017-08";;;;;;"31200";"TOULOUSE";"false";"91  B";"CH";"RAYNAL";;"TOULOUSE";"31000";"AT";271;;;;;552;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0055";2;"2017-09-07";2017;"2017-09";"2017-09";"2017-09";"47.59A";5499;"SCHMIT DECORATION";"513478743";"51347874300018";"31000";"TOULOUSE";"false";"28";"RUE";"DU REMPART ST ETIENNE";;"TOULOUSE";"31000";"AB";49;;;;;451;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0056";2;"2017-08-18";2017;"2017-08";"2017-08";"2017-08";;;;;;"31400";"TOULOUSE";"false";"74";"RUE";"NOULET";;"TOULOUSE";"31000";"AC";285;;;;;316;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0057";2;"2017-10-26";2017;"2017-08";"2017-10";"2017-10";;;;;;"31506";"TOULOUSE";"false";;"AV";"ALBERT BEDOUCE";;"TOULOUSE";"31000";"AC";53;"AC";"79";;;6138;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0058";2;"2017-08-24";2017;"2017-08";"2017-08";"2017-08";;;;;;"31000";"TOULOUSE";"false";"2";"RUE";"DES MIRACLES";;"TOULOUSE";"31000";"AI";375;;;;;77;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0060";2;"2017-09-04";2017;"2017-08";"2017-09";"2017-09";"84.11Z";7210;"COMMUNE DE TOULOUSE";"213105554";"21310555400017";"31000";"TOULOUSE";"false";"8";"RUE";"JEAN RODIER";;"TOULOUSE";"31000";"AI";44;;;;;10763;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0061";2;"2017-11-06";2017;"2017-08";"2017-11";"2017-11";;;;;;"31300";"TOULOUSE";"false";"12";"AV";"DES MINIMES";;"TOULOUSE";"31000";"AE";629;;;;;62;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0062";2;"2017-10-09";2017;"2017-08";"2017-10";"2017-10";"68.20A";4140;"HABITAT TOULOUSE";"400121463";"40012146300105";"31000";"TOULOUSE";"false";"5";"AV";"RAYMOND BADIOU";;"TOULOUSE";"31000";"AC";79;;;;;15101;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0063";2;"2017-09-18";2017;"2017-08";"2017-09";"2017-09";;;;;;"31100";"TOULOUSE";"false";;"AV";"JEAN MOULIN";"27 RUE MENTON ADRESSE REELLE";"TOULOUSE";"31000";"AD";70;;;;;4856;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0064";2;"2017-10-04";2017;"2017-08";"2017-10";"2017-10";;;;;;"31100";"TOULOUSE";"false";;"AV";"JEAN MOULIN";"19 RUE DE CANNES-ADRESSE REELLE";"TOULOUSE";"31000";"AD";119;"AD";"89";;;7649;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0065";2;"2017-09-25";2017;"2017-08";"2017-09";"2017-09";;;;;;"31200";"TOULOUSE";"false";"80";"ROUTE";"DE BLAGNAC";;"TOULOUSE";"31000";"AC";10;;;;;282;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0066";2;"2017-10-04";2017;"2017-08";"2017-10";"2017-10";;;;;;"31200";"TOULOUSE";"false";"15";"RUE";"PIERRE RUBENS";;"TOULOUSE";"31000";"AX";499;;;;;490;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0068";2;"2017-09-27";2017;"2017-09";"2017-09";"2017-09";"52.21Z";5710;"SOCIETE FINANCIERE MIDI-PYRENEES SFMP";"342145604";"34214560400068";"92919";"LA DEFENSE CEDEX";"false";;"ALLEE";"JEAN JAURES";;"TOULOUSE";"31000";;;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0069";2;"2017-11-13";2017;"2017-09";"2017-11";"2017-11";;;;;;"31200";"TOULOUSE";"false";"9";"RUE";"SAINTE BLANCHE";;"TOULOUSE";"31000";"AC";402;;;;;311;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0070";2;"2017-09-21";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE  CEDEX 09";"false";"1";"PLACE";"DU DOCTEUR BAYLAC";"PAVILLON M RISER";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0071";2;"2017-09-21";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE CEDEX 09";"false";"1";"PLACE";"DU DOCTEUR BAYLAC";"CHU PURPAN";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0072";2;"2017-09-26";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE CEDEX 09";"false";"1";"PLACE";"DU DOCTEUR BAYLAC";"CHU PURPAN";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0073";2;"2017-09-21";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE CEDEX 09";"false";;"PLACE";"DU DOCTEUR BAYLAC";"PAVILLON ESPAGNO PHARMACIE";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0074";2;"2017-09-26";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE CEDEX 09";"false";;"PLACE";"DU DOCTEUR BAYLAC";"PAVILLON ARMENGAUD";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0075";2;"2017-09-21";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE CEDEX 09";"false";"1";"PLACE";"DU DOCTEUR BAYLAC";"HOPITAL PURPAN";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0076";2;"2017-09-26";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE CEDEX 09";"false";"1";"PLACE";"DU DOCTEUR BAYLAC";"HOPITAL PURPAN";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0077";2;"2017-09-21";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE  CEDEX 09";"false";;"PLACE";"DU DOCTEUR BAYLAC";"BLOCS SENAC LABO 4 CUISINES NORD";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0078";2;"2017-09-26";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE CEDEX 09";"false";"1";"PLACE";"DU DOCTEUR BAYLAC";"CHU PURPAN";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0079";2;"2017-09-26";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE  CEDEX 09";"false";;"PLACE";"DU DOCTEUR BAYLAC";"CHU PURPAN";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0080";2;"2017-09-21";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE CEDEX 09";"false";"1";"PLACE";"DU DOCTEUR BAYLAC";"HOPITAL PURPAN";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0081";2;"2017-11-15";2017;"2017-09";"2017-11";"2017-11";"82.99Z";5499;"BUDGECOM";"423018472";;"31120";"PORTET SUR GARONNE";"false";"187";"ROUTE";"DE BAYONNE";;"TOULOUSE";"31000";"BB";152;;;;;1119;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0082";2;"2017-09-21";2017;"2017-09";"2017-09";"2017-09";;;;;;"31059";"TOULOUSE CEDEX 09";"false";;"PLACE";"DU DOCTEUR BAYLAC";"CHU PURPAN";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0083";2;"2017-09-27";2017;"2017-09";"2017-09";"2017-09";;;;;;"31100";"TOULOUSE";"false";"79";"CH";"DU CHAPITRE";;"TOULOUSE";"31000";"AS";241;;;;;539;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0084";2;"2017-11-13";2017;"2017-09";"2017-11";"2017-11";;;;;;"31100";"TOULOUSE";"false";"18";"RUE";"GUSTAVE CHARPENTIER";;"TOULOUSE";"31000";"AH";238;;;;;311;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0085";2;"2017-10-26";2017;"2017-10";"2017-10";"2017-10";;;;;;"31100";"TOULOUSE";"false";"16";"CH";"DE ROCAMADOUR";;"TOULOUSE";"31000";"AZ";233;;;;;529;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0086";2;"2017-10-09";2017;"2017-09";"2017-10";"2017-10";;;;;;"31200";"TOULOUSE";"false";"8";"RUE";"MATHALY";;"TOULOUSE";"31000";"AW";252;;;;;327;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0087";2;"2017-10-11";2017;"2017-09";"2017-10";"2017-10";;;;;;"92130";"ISSY LES MOULINEAUX";"false";"135";"RUE";"DE PERIOLE";;"TOULOUSE";"31000";"AD";150;;;;;23342;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0088";2;"2017-11-27";2017;"2017-09";"2017-11";"2017-11";;;;;;"31100";"TOULOUSE";"false";"37";"RUE";"PAUL GAUGUIN";;"TOULOUSE";"31000";"BL";413;;;;;772;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0089";2;"2017-12-10";2017;"2017-10";"2017-12";"2017-12";;;;;;"31200";"TOULOUSE";"false";"26";"RUE";"HOMERE";;"TOULOUSE";"31000";"AC";148;;;;;437;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0090";2;"2017-10-17";2017;"2017-10";"2017-10";"2017-10";"41.10D";6541;"SCI DE L'HERS-MONTAUDRAN";"390249076";"39024907600022";"31400";"TOULOUSE";"false";"2";"RUE";"JEAN RODIER";;"TOULOUSE";"31000";"AM";106;;;;;13126;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0091";2;"2017-10-26";2017;"2017-10";"2017-10";"2017-10";;;;;;"31700";"MONDONVILLE";"false";"97";"BD";"DEODAT DE SEVERAC";;"TOULOUSE";"31000";"AB";374;;;;;232;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0092";2;"2017-11-22";2017;"2017-10";"2017-11";"2017-11";;;;;;"31100";"TOULOUSE";"false";"28";"RUE";"JACQUES CARTIER";;"TOULOUSE";"31000";"AZ";108;;;;;386;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0093";2;"2017-11-06";2017;"2017-11";"2017-11";"2017-11";;;;;;"31059";"TOULOUSE CEDEX 09";"false";"1";"PLACE";"DU DOCTEUR BAYLAC P";"TSA 40031";"TOULOUSE";"31000";"AP";15;;;;;203263;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0094";2;"2017-12-28";2017;"2017-10";"2017-12";"2017-12";;;;;;"31500";"TOULOUSE";"false";"10";"RUE";"HANS ANDERSEN";;"TOULOUSE";"31000";"AT";129;;;;;486;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0095";2;"2017-11-27";2017;"2017-10";"2017-11";"2017-11";;;;;;"31200";"TOULOUSE";"false";"19";"RUE";"BERNARD DELICIEUX";;"TOULOUSE";"31000";"AL";16;;;;;347;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0096";2;"2017-11-22";2017;"2017-11";"2017-11";"2017-11";;;;;;"31000";"TOULOUSE";"false";"72";"RUE";"BAYARD";;"TOULOUSE";"31000";"AB";443;;;;;630;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0097";2;"2017-12-12";2017;"2017-11";"2017-12";"2017-12";"68.20A";4140;"HABITAT TOULOUSE";"400121463";"40012146300105";"31000";"TOULOUSE";"false";"28 30";"RUE";"DU GARD";;"TOULOUSE";"31000";"AM";123;;;;;20500;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0098";2;"2017-12-04";2017;"2017-12";"2017-12";"2017-12";;;;;;"31400";"TOULOUSE";"false";"13";"RUE";"PERREY";;"TOULOUSE";"31000";"AD";326;;;;;296;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0099";2;"2017-12-12";2017;"2017-11";"2017-12";"2017-12";"84.11Z";7210;"COMMUNE DE TOULOUSE";"213105554";"21310555400017";"31000";"TOULOUSE";"false";;"RUE";"DU PONT ST PIERRE";;"TOULOUSE";"31000";"AD";390;;;;;46978;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0100";2;"2017-11-15";2017;"2017-11";"2017-11";"2017-11";;;;;;"31011";"TOULOUSE CEDEX 6";"false";"103";"RUE";"EDMOND ROSTAND";;"TOULOUSE";"31000";"AY";211;;;;;916;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0101";2;"2017-11-22";2017;"2017-11";"2017-11";"2017-11";;;;;;"31011";"TOULOUSE CEDEX 6";"false";"103";"RUE";"EDMOND ROSTAND";;"TOULOUSE";"31000";"AY";213;"AY";"218";;;948;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0102";2;"2017-12-22";2017;"2017-11";"2017-12";"2017-12";"84.11Z";7210;"COMMUNE DE TOULOUSE";"213105554";"21310555400017";"31000";"TOULOUSE";"false";;"RUE";"GEORGES VEDEL";;"TOULOUSE";"31000";"BL";242;"BL";"313";"BL";"322";16941;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0103";2;"2018-01-23";2017;"2017-11";"2018-01";"2018-01";;;;;;"31000";"TOULOUSE";"false";"13";"RUE";"1814";;"TOULOUSE";"31000";"AC";196;;;;;164;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0104";2;"2018-01-23";2017;"2017-11";"2018-01";"2018-01";;;;;;"31200";"TOULOUSE";"false";"23";"RUE";"DES SPORTS";;"TOULOUSE";"31000";"AC";116;;;;;661;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0105";2;"2018-01-24";2017;"2017-11";"2018-01";"2018-01";;;;;;"31500";"TOULOUSE";"false";"9";"RUE";"HANS ANDERSEN";;"TOULOUSE";"31000";"AT";130;;;;;486;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0107";2;"2017-12-12";2017;"2017-11";"2017-12";"2017-12";;;;;;"31300";"TOULOUSE";"false";"26";"RUE";"LAFAGE";;"TOULOUSE";"31000";"AD";151;;;;;444;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0108";2;"2018-01-26";2017;"2017-11";"2018-01";"2018-01";"41.10D";6541;"PAUL MARGUERITTE";"853921260";"85392126000016";"31200";"TOULOUSE";"false";"50";"ROUTE";"DE LAUNAGUET";;"TOULOUSE";"31000";"AO";121;;;;;1753;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0109";2;"2017-12-26";2017;"2017-12";"2017-12";"2017-12";;;;;;"31000";"TOULOUSE";"false";;"RUE";"JEAN RODIER";"MONTAUDRAN";"TOULOUSE";"31000";"AM";9;;;;;364;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0111";2;"2017-12-12";2017;"2017-12";"2017-12";"2017-12";;;;;;"31500";"TOULOUSE";"false";"6";"RUE";"MARIE-CLAIRE DE CATELL";;"TOULOUSE";"31000";"AB";38;;;;;300422;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0112";2;"2017-12-28";2017;"2017-12";"2017-12";"2017-12";;;;;;"31010";"TOULOUSE CEDEX 06";"false";"16";"AV";"RAYMOND BADIOU";"ZAC DE LA CARTOUCHERIE";"TOULOUSE";"31000";"AC";171;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0113";2;"2017-12-20";2017;"2017-12";"2017-12";"2017-12";;;;;;"31000";"TOULOUSE";"false";"19";"RUE";"JEAN TALLIEN";;"TOULOUSE";"31000";"AX";278;;;;;348;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0114";2;"2018-01-18";2017;"2017-12";"2018-01";"2018-01";;;;;;"33110";"LE BOUSCAT";"false";"358";"AV";"DES ETATS UNIS";;"TOULOUSE";"31000";"AZ";144;;;;;310;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0116";2;"2017-12-28";2017;"2017-12";"2017-12";"2017-12";;;;;;"31100";"TOULOUSE";"false";"7";"RUE";"ANDRE BAUGE";;"TOULOUSE";"31000";"BI";154;;;;;330;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0118";2;"2018-01-10";2017;"2017-12";"2018-01";"2018-01";;;;;;"31079";"TOULOUSE CEDEX 5";"false";"85";"RUE";"DE LIMAYRAC";;"TOULOUSE";"31000";"AE";264;;;;;66921;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0119";2;"2018-01-10";2017;"2017-12";"2018-01";"2018-01";;;;;;"31100";"TOULOUSE";"false";"23";"CH";"DE LICARD";;"TOULOUSE";"31000";"AX";157;;;;;5173;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155517D0120";2;"2018-02-22";2017;"2017-12";"2018-02";"2018-02";;;;;;"75007";"PARIS 7EME ARRONDISSEMENT";"false";"18";"RUE";"DE BORNIER";;"TOULOUSE";"31000";"AE";67;;;;;211;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155518A0102";2;"2018-09-19";2018;"2018-07";"2018-11";"2018-11";"86.10Z";7364;"HOTEL DIEU SAINT JACQUES";"263100125";"26310012500016";;;"false";;;"PURPAN";;"TOULOUSE";"31000";"AP";1;"AP";"2";"AP";"5";0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155518A0136";2;"2018-12-04";2018;"2018-10";"2018-12";"2018-12";"85.42Z";7383;"ECOLE NATIONALE DE L'AVIATION CIVILE";"193112562";"19311256200015";;;"false";"7";;"AVENUE EDOUARD BELIN";;"TOULOUSE";"31000";"BK";8;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155518A0153";2;"2018-12-12";2018;"2018-11";"2018-12";"2018-12";"49.10Z";4120;"SNCF MARSEILLE 03 4 RUE LEON GOZLAN";"552049447";"55204944769936";;;"false";;;"TOULOUSE RAYNAL";"BAT 255 UT 3118 H";"TOULOUSE";"31000";"AB";38;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155518D0001";2;"2018-01-15";2018;"2018-01";"2018-01";"2018-01";;;;;;"31400";"TOULOUSE";"false";"109";"CH";"DE LA BUTTE";;"TOULOUSE";"31000";"AD";236;;;;;332;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155518D0002";2;"2018-01-23";2018;"2018-01";"2018-01";"2018-01";;;;;;"31100";"TOULOUSE";"false";"60";"CH";"DE FERRO LEBRES";;"TOULOUSE";"31000";"BA";136;;;;;1438;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155518D0003";2;"2018-01-15";2018;"2018-01";"2018-01";"2018-01";;;;;;"31000";"TOULOUSE";"false";;"RUE";"DE SOUPETARD";;"TOULOUSE";"31000";"AP";5;;;;;708;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155518D0004";5;"2018-02-19";2018;"2018-01";"2018-02";"2019-09";;;;;;"34000";"MONTPELLIER";"false";"6";"RUE";"DE L'ORIENT";;"TOULOUSE";"31000";"AB";233;;;;;647;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155518D0005";2;"2018-04-04";2018;"2018-01";"2018-04";"2018-04";;;;;;"31000";"TOULOUSE";"false";"27 B";"RUE";"DES SAULES";;"TOULOUSE";"31000";"AD";103;;;;;235;4
